Year,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",Location_id
1909,40,,,,,,,271
1914,20,20,,,20,,,116
1914,20,20,,,20,,,2729
1917,15000,,,,,,,271
1919,5000,,,,,,,1008
1924,727,,,11250,11250,,,2266
1927,50,50,,,50,,,2631
1927,50,50,,,50,,,55
1928,128,,,,,,,1701
1930,1369,,,,,,,6
1931,1300,,,,,,,271
1932,6,115,,2960,3075,,,465
1936,9,20,,,20,,,1401
1936,17,,,,,,,1933
1936,17,,,,,,,1380
1938,,,920,4710,5630,,,707
1942,13,,,,,,,2785
1942,13,,,,,,,1405
1943,213,2096,14000,,16096,,,940
1951,1300,,,,,,,271
1953,114,,,,,,,271
1954,37,,,,,,,271
1955,405,,,,,,,271
1956,300,,,,,,,271
1958,8,1856,1030,475,3361,,,2490
1963,1584,,78000,,78000,,,271
1963,106,,,,,,,271
1965,71,,15000,,15000,,,2259
1966,8000,,204000,,204000,,,1330
1966,8000,,204000,,204000,,,816
1966,1000,60,5000,,5060,,,2205
1966,88,2000,40000,,42000,,,2675
1966,176,100,524000,,524100,33000,275492,496
1966,176,100,524000,,524100,33000,275492,596
1967,71,100,,,100,,,2722
1967,54,121,,8290,8411,,,818
1967,200,,,,,,,271
1967,,,55000,,55000,,,818
1967,,,102000,40000,142000,,,1028
1967,,,7000,,7000,,,1884
1967,160,,,,,,,2822
1968,200,,,,,,,547
1968,40,,94,,94,,,60
1968,12,,150000,,150000,7831,61005,818
1969,64,97,,6435,6532,,,2615
1969,64,97,,6435,6532,,,1046
1969,,,250000,,250000,200,1477,1725
1969,,,250000,,250000,200,1477,1405
1969,,,250000,,250000,200,1477,2695
1970,50,,,,,,,1379
1970,82,,,,,,,1379
1972,,,3500000,,3500000,70000,453596,2822
1972,,,3500000,,3500000,70000,453596,1935
1972,72,,,,,,,2560
1973,1650,,,,,,,1725
1973,52,24,10,,34,,,1118
1974,10,,2000,,2000,,,418
1976,420,,15000,,15000,25000,119038,910
1976,573,4755,450000,,454755,195000,928495,271
1976,133,,7000,,7000,,,2766
1976,133,,7000,,7000,,,1306
1976,40,,,,,,,271
1976,163,20,20000,,20020,,,818
